"","sats","bands","X","abscalfactor","effectivebandwidth","id_part","solar_zenith","view_angle","date","gain","offset","exo_thuilier","exo_chkur","exo_wrc","alt_m"
"87","WV02","Y",22,0.005101088,0.0374,"010623053020_01_P002",39.2,31.5,"2016-09-05 16:20:04",0.949,-3.564,1701.85,1738.11,1738.59,770000
"88","WV02","Y",67,0.005829815,0.0374,"010623053050_01_P001",32.1,32.5,"2013-08-17 16:39:05",0.949,-3.564,1701.85,1738.11,1738.59,770000
"89","WV02","Y",49,0.005829815,0.0374,"010623053040_01_P001",32.1,32.7,"2013-08-17 16:39:05",0.949,-3.564,1701.85,1738.11,1738.59,770000
"90","WV02","RE",24,0.004539619,0.0393,"010623053020_01_P002",39.2,31.5,"2016-09-05 16:20:04",0.974,-4.12,1346.09,1302.19,1342.05,770000
"91","WV02","N",70,0.0122438,0.0989,"010623053050_01_P001",32.1,32.5,"2013-08-17 16:39:05",0.961,-3.3,1053.21,1061.4,1069.59,770000
"92","WV02","RE",60,0.005188136,0.0393,"010623053040_01_P002",32.1,27.2,"2013-08-17 16:39:02",0.974,-4.12,1346.09,1302.19,1342.05,770000
"93","WV02","Y",85,0.006810718,0.0374,"010623053060_01_P001",24.6,26.6,"2012-07-12 16:21:04",0.949,-3.564,1701.85,1738.11,1738.59,770000
"94","WV02","RE",69,0.005188136,0.0393,"010623053050_01_P001",32.1,32.5,"2013-08-17 16:39:05",0.974,-4.12,1346.09,1302.19,1342.05,770000
"95","WV02","RE",33,0.004539619,0.0393,"010623053030_01_P001",39.3,31.3,"2016-09-05 16:20:04",0.974,-4.12,1346.09,1302.19,1342.05,770000
"96","WV03","B",2,0.0176201,0.054,"010623053010_01_P001",32.2,24.5,"2017-08-11 16:13:01",0.94,-5.809,2004.61,1743.9,1743.81,617000
"97","WV03","C",124,0.0143436,0.0405,"010577871010_01_P002",29.3,13.6,"2019-08-02 16:12:02",0.905,-8.604,1757.89,1578.28,1583.58,617000
"98","WV03","C",115,0.0143287,0.0405,"010577871010_01_P001",29.3,8.40000000000001,"2019-08-02 16:12:01",0.905,-8.604,1757.89,1578.28,1583.58,617000
"99","WV03","B",116,0.0176201,0.054,"010577871010_01_P001",29.3,8.40000000000001,"2019-08-02 16:12:01",0.94,-5.809,2004.61,1743.9,1743.81,617000
"100","WV03","N",130,0.0118467,0.1004,"010577871010_01_P002",29.3,13.6,"2019-08-02 16:12:02",0.961,-5.522,1055.94,1063.92,1071.98,617000
"101","WV03","N2",131,0.0106514,0.0889,"010577871010_01_P002",29.3,13.6,"2019-08-02 16:12:02",0.978,-2.992,858.77,858.632,863.296,617000
"102","WV03","N2",8,0.0106378,0.0889,"010623053010_01_P001",32.2,24.5,"2017-08-11 16:13:01",0.978,-2.992,858.77,858.632,863.296,617000
"103","WV03","Y",118,0.00684307,0.0381,"010577871010_01_P001",29.3,8.40000000000001,"2019-08-02 16:12:01",0.962,-3.649,1712.07,1858.1,1856.26,617000
"104","WV03","R",5,0.0102,0.0585,"010623053010_01_P001",32.2,24.5,"2017-08-11 16:13:01",0.964,-3.021,1535.33,1748.87,1749.4,617000
"105","WV03","RE",120,0.00621996,0.0387,"010577871010_01_P001",29.3,8.40000000000001,"2019-08-02 16:12:01",1,-4.521,1348.08,1550.58,1555.11,617000
"106","WV03","RE",129,0.00623175,0.0387,"010577871010_01_P002",29.3,13.6,"2019-08-02 16:12:02",1,-4.521,1348.08,1550.58,1555.11,617000
"107","WV03","B",125,0.0177199,0.054,"010577871010_01_P002",29.3,13.6,"2019-08-02 16:12:02",0.94,-5.809,2004.61,1743.9,1743.81,617000
